decile,mean_pred,observed_rate,n,abs_diff
0,0.016239164852953444,0.012588610519435146,88731,0.0036505543335182983
1,0.041933401385684355,0.03743038603387968,94629,0.004503015351804675
2,0.05442341049141919,0.05063018829722616,79024,0.0037932221941930286
3,0.07254578696429913,0.0694031586837956,116061,0.0031426282805035316
4,0.08503710489733178,0.09405171831746675,59244,0.009014613420134973
5,0.1364736096918104,0.14909789928636044,79592,0.012624289594550031
6,0.17314814106754747,0.17696745547882536,103827,0.003819314411277891
7,0.19538380595159738,0.20466571215139442,64256,0.009281906199797046
8,0.3686113222527084,0.37015479353831876,94836,0.0015434712856103872
9,0.4547584407373286,0.4378782009323947,74861,0.01688023980493386
